0	(0, 0, 48, 96)	48x96
1	(60, 0, 108, 48)	48x48
2	(120, 0, 192, 108)	72x108
3	(217, 0, 287, 96)	70x96
4	(289, 0, 359, 96)	70x96
5	(64, 53, 104, 108)	40x55
6	(182, 54, 185, 58)	3x4
7	(183, 62, 189, 67)	6x5
8	(187, 50, 190, 54)	3x4
9	(188, 67, 191, 71)	3x4
10	(77, 89, 91, 108)	14x19
11	(158, 85, 160, 88)	2x3
12	(159, 75, 164, 83)	5x8
13	(159, 88, 180, 108)	21x20
14	(164, 88, 167, 91)	3x3
15	(169, 73, 179, 83)	10x10
16	(181, 109, 215, 167)	34x58
17	(217, 109, 238, 143)	21x34
18	(252, 108, 276, 132)	24x24
19	(288, 108, 312, 132)	24x24
20	(324, 108, 348, 132)	24x24
21	(1, 120, 12, 143)	11x23
22	(14, 120, 18, 143)	4x23
23	(25, 120, 36, 143)	11x23
24	(42, 120, 46, 143)	4x23
25	(53, 122, 70, 167)	17x45
26	(74, 122, 91, 167)	17x45
27	(98, 121, 106, 167)	8x46
28	(110, 121, 118, 167)	8x46
29	(123, 120, 179, 204)	56x84
30	(334, 143, 351, 168)	17x25
31	(0, 146, 12, 168)	12x22
32	(13, 145, 24, 167)	11x22
33	(25, 144, 48, 168)	23x24
34	(217, 146, 227, 168)	10x22
35	(241, 144, 251, 168)	10x24
36	(262, 144, 276, 168)	14x24
37	(288, 147, 300, 168)	12x21
38	(313, 144, 323, 168)	10x24
39	(1, 169, 36, 204)	35x35
40	(48, 173, 60, 192)	12x19
41	(62, 181, 70, 192)	8x11
42	(182, 181, 186, 186)	4x5
43	(184, 187, 189, 192)	5x5
44	(187, 181, 191, 186)	4x5
45	(192, 180, 355, 208)	163x28
46	(193, 174, 197, 179)	4x5
47	(198, 174, 202, 179)	4x5
48	(203, 174, 208, 179)	5x5
49	(218, 170, 223, 177)	5x7
50	(224, 172, 229, 177)	5x5
51	(231, 170, 234, 177)	3x7
52	(236, 170, 241, 177)	5x7
53	(243, 172, 246, 177)	3x5
54	(248, 172, 253, 177)	5x5
55	(254, 172, 259, 179)	5x7
56	(266, 170, 271, 177)	5x7
57	(272, 172, 277, 177)	5x5
58	(279, 172, 282, 177)	3x5
59	(285, 172, 290, 177)	5x5
60	(291, 172, 296, 177)	5x5
61	(297, 170, 302, 177)	5x7
62	(304, 172, 307, 177)	3x5
63	(309, 172, 314, 177)	5x5
64	(315, 172, 320, 177)	5x5
65	(203, 209, 208, 214)	5x5
66	(232, 209, 236, 214)	4x5
67	(258, 209, 262, 214)	4x5
68	(285, 209, 289, 214)	4x5
69	(311, 209, 315, 214)	4x5
70	(340, 209, 344, 214)	4x5
71	(0, 228, 24, 240)	24x12
72	(0, 228, 360, 348)	360x120
73	(37, 228, 59, 240)	22x12
74	(145, 228, 167, 240)	22x12
75	(253, 228, 275, 240)	22x12
76	(54, 330, 69, 356)	15x26
77	(75, 330, 90, 356)	15x26
78	(162, 330, 177, 356)	15x26
79	(183, 330, 198, 356)	15x26
80	(270, 330, 285, 356)	15x26
81	(291, 330, 306, 356)	15x26
