0	(0, 0, 592, 448)	592x448
1	(499, 66, 541, 78)	42x12
2	(516, 50, 524, 62)	8x12
3	(532, 50, 540, 62)	8x12
4	(547, 65, 589, 79)	42x14
5	(548, 50, 556, 62)	8x12
6	(499, 82, 541, 94)	42x12
7	(547, 81, 589, 95)	42x14
8	(436, 112, 444, 128)	8x16
9	(451, 112, 460, 144)	9x32
10	(499, 98, 541, 110)	42x12
11	(499, 114, 541, 126)	42x12
12	(547, 97, 589, 111)	42x14
13	(549, 114, 555, 142)	6x28
14	(565, 116, 586, 124)	21x8
15	(418, 128, 430, 144)	12x16
16	(434, 130, 446, 143)	12x13
17	(499, 130, 541, 142)	42x12
18	(563, 131, 589, 140)	26x9
19	(498, 163, 510, 208)	12x45
20	(499, 146, 541, 158)	42x12
21	(514, 163, 526, 208)	12x45
22	(530, 163, 542, 208)	12x45
23	(547, 162, 557, 208)	10x46
24	(549, 146, 555, 154)	6x8
25	(563, 145, 573, 153)	10x8
26	(563, 162, 573, 208)	10x46
27	(579, 145, 589, 153)	10x8
28	(579, 162, 589, 208)	10x46
29	(194, 211, 206, 222)	12x11
30	(211, 212, 222, 222)	11x10
31	(228, 215, 236, 222)	8x7
32	(244, 210, 252, 223)	8x13
33	(260, 210, 268, 223)	8x13
34	(276, 212, 284, 223)	8x11
35	(292, 212, 300, 223)	8x11
36	(308, 209, 315, 224)	7x15
37	(496, 212, 592, 256)	96x44
38	(499, 212, 509, 224)	10x12
39	(547, 209, 557, 224)	10x15
40	(563, 209, 573, 224)	10x15
41	(579, 209, 589, 224)	10x15
42	(4, 224, 11, 240)	7x16
43	(21, 224, 27, 240)	6x16
44	(37, 224, 43, 240)	6x16
45	(53, 224, 60, 240)	7x16
46	(66, 233, 126, 256)	60x23
47	(82, 224, 110, 240)	28x16
48	(132, 224, 138, 256)	6x32
49	(148, 224, 155, 256)	7x32
50	(164, 224, 171, 256)	7x32
51	(181, 224, 187, 287)	6x63
52	(196, 228, 204, 238)	8x10
53	(212, 227, 220, 238)	8x11
54	(226, 225, 238, 239)	12x14
55	(244, 225, 252, 238)	8x13
56	(276, 224, 285, 240)	9x16
57	(291, 224, 300, 240)	9x16
58	(403, 228, 413, 237)	10x9
59	(419, 227, 429, 237)	10x10
60	(435, 226, 445, 239)	10x13
61	(449, 229, 463, 239)	14x10
62	(468, 227, 476, 238)	8x11
63	(483, 225, 495, 238)	12x13
64	(0, 242, 15, 303)	15x61
65	(16, 242, 31, 303)	15x61
66	(33, 242, 48, 303)	15x61
67	(49, 242, 64, 303)	15x61
68	(76, 256, 100, 303)	24x47
69	(116, 261, 127, 303)	11x42
70	(129, 261, 140, 303)	11x42
71	(148, 261, 167, 272)	19x11
72	(195, 242, 205, 256)	10x14
73	(195, 258, 205, 272)	10x14
74	(211, 242, 221, 254)	10x12
75	(211, 260, 221, 270)	10x10
76	(225, 244, 239, 254)	14x10
77	(226, 258, 238, 270)	12x12
78	(240, 242, 256, 256)	16x14
79	(240, 258, 256, 271)	16x13
80	(272, 242, 304, 256)	32x14
81	(386, 257, 398, 271)	12x14
82	(387, 241, 397, 254)	10x13
83	(403, 241, 413, 255)	10x14
84	(403, 257, 413, 271)	10x14
85	(418, 241, 430, 255)	12x14
86	(418, 257, 430, 271)	12x14
87	(433, 241, 447, 255)	14x14
88	(433, 257, 447, 271)	14x14
89	(449, 241, 463, 272)	14x31
90	(465, 241, 479, 287)	14x46
91	(481, 241, 495, 287)	14x46
92	(68, 274, 76, 288)	8x14
93	(101, 272, 107, 303)	6x31
94	(153, 277, 172, 288)	19x11
95	(194, 275, 206, 288)	12x13
96	(210, 272, 222, 288)	12x16
97	(226, 273, 238, 288)	12x15
98	(403, 273, 413, 287)	10x14
99	(419, 273, 429, 287)	10x14
100	(433, 273, 447, 287)	14x14
101	(449, 273, 463, 287)	14x14
102	(503, 264, 539, 288)	36x24
103	(549, 264, 585, 288)	36x24
104	(0, 288, 9, 290)	9x2
105	(55, 288, 64, 290)	9x2
106	(228, 291, 236, 302)	8x11
107	(403, 289, 413, 303)	10x14
108	(403, 305, 413, 319)	10x14
109	(418, 289, 430, 303)	12x14
110	(418, 305, 430, 319)	12x14
111	(433, 289, 447, 303)	14x14
112	(433, 305, 447, 319)	14x14
113	(449, 289, 463, 320)	14x31
114	(465, 289, 479, 335)	14x46
115	(481, 289, 495, 335)	14x46
116	(501, 290, 523, 319)	22x29
117	(533, 290, 555, 319)	22x29
118	(560, 289, 576, 294)	16x5
119	(571, 304, 581, 320)	10x16
120	(576, 298, 592, 303)	16x5
121	(368, 326, 400, 330)	32x4
122	(403, 321, 413, 335)	10x14
123	(419, 321, 429, 335)	10x14
124	(433, 321, 447, 335)	14x14
125	(449, 321, 463, 335)	14x14
126	(503, 328, 539, 352)	36x24
127	(549, 328, 585, 352)	36x24
128	(369, 337, 383, 368)	14x31
129	(385, 337, 399, 368)	14x31
130	(401, 337, 415, 352)	14x15
131	(401, 353, 415, 368)	14x15
132	(417, 337, 431, 352)	14x15
133	(417, 353, 431, 368)	14x15
134	(433, 337, 447, 352)	14x15
135	(435, 353, 462, 368)	27x15
136	(448, 337, 463, 352)	15x15
137	(465, 337, 479, 368)	14x31
138	(480, 337, 495, 368)	15x31
139	(501, 354, 523, 383)	22x29
140	(533, 354, 555, 383)	22x29
141	(371, 369, 398, 384)	27x15
142	(403, 369, 430, 384)	27x15
143	(435, 369, 462, 384)	27x15
144	(466, 369, 495, 384)	29x15
145	(564, 362, 588, 367)	24x5
146	(564, 369, 588, 374)	24x5
